CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Female,37,63,61
229,Male,29,53,59
230,Female,49,52,41
231,Male,30,57,78
232,Female,66,85,39
233,Female,26,1,51
234,Male,37,106,61
235,Male,67,60,7
236,Male,73,46,73
237,Male,43,113,25
238,Female,16,89,23
239,Female,40,7,53
240,Male,49,83,55
241,Female,49,64,89
242,Female,44,64,103
243,Female,38,87,72
244,Male,33,42,84
245,Female,31,10,88
246,Male,42,90,31
247,Male,34,63,73
248,Male,44,56,79
249,Female,46,60,60
250,Female,50,99,49
251,Male,49,56,57
252,Female,51,67,33
253,Female,47,56,34
254,Female,24,54,-5
255,Male,52,31,68
256,Female,52,41,51
257,Female,52,67,49
258,Female,37,68,77
259,Male,32,75,30
260,Female,41,20,42
261,Female,24,53,2
262,Female,35,77,12
263,Female,28,64,66
264,Female,38,57,49
265,Male,58,21,37
266,Male,56,60,14
267,Female,44,88,40
268,Female,54,48,29
269,Male,44,102,30
270,Female,55,96,61
271,Male,38,68,19
272,Male,42,21,19
273,Male,16,30,52
274,Male,10,100,21
275,Female,37,62,17
276,Female,30,51,37
277,Male,36,58,110
278,Male,46,99,59
279,Female,52,38,60
280,Female,14,76,39
281,Female,60,83,78
282,Male,34,41,63
283,Male,43,78,55
284,Male,56,50,47
285,Male,9,47,71
286,Male,36,2,38
287,Male,26,78,55
288,Female,44,55,23
289,Female,62,83,38
290,Female,46,106,1
291,Male,27,72,83
292,Male,19,76,81
293,Male,26,40,33
294,Female,30,111,2
295,Male,57,39,54
296,Male,56,85,59
297,Male,14,11,-12
298,Male,55,8,39
299,Male,48,47,60
300,Female,50,77,37
301,Male,37,87,87
302,Female,21,58,55
303,Male,42,95,57
304,Female,39,94,73
305,Female,33,19,121
306,Male,46,46,8
307,Female,26,71,28
308,Male,40,51,96
309,Female,67,115,50
310,Male,38,61,7
311,Female,57,84,-7
312,Female,21,22,104
313,Female,31,58,27
314,Female,18,5,39
315,Female,69,95,62
316,Male,10,43,100
317,Female,39,90,108
318,Male,46,11,64
319,Female,31,56,31
320,Female,58,108,44
321,Female,49,27,54
322,Male,36,15,62
323,Female,41,106,31
324,Male,50,72,69
325,Female,33,39,45
326,Male,16,88,75
327,Male,41,72,68
328,Male,31,39,85
329,Male,17,107,55
330,Female,31,58,57
331,Male,37,48,57
332,Female,33,9,29
333,Male,22,23,39
334,Male,33,65,48
335,Male,28,86,68
336,Female,49,28,71
337,Male,21,55,25
338,Female,38,85,94
339,Female,53,74,56
340,Female,38,100,10
341,Female,58,68,-2
342,Male,19,29,63
343,Male,38,88,46
344,Male,21,67,32
345,Male,36,18,29
346,Male,47,100,33
347,Male,25,21,38
348,Male,52,60,40
349,Male,49,63,101
350,Male,54,47,24
351,Male,49,29,30
352,Male,59,59,-18
353,Female,39,79,40
354,Male,26,61,55
355,Male,15,56,58
356,Male,51,73,71
357,Male,44,47,19
358,Male,43,94,18
359,Male,42,69,64
360,Male,4,100,63
361,Male,52,36,3
362,Male,39,73,77
363,Male,42,47,44
364,Female,23,83,42
365,Male,52,52,22
366,Male,51,81,41
367,Male,37,76,24
368,Female,53,31,91
369,Male,32,69,16
370,Male,48,80,22
371,Male,62,54,1
372,Female,30,64,56
373,Female,50,62,45
374,Female,49,52,37
375,Male,46,27,45
376,Female,36,59,51
377,Male,50,34,50
378,Male,17,37,77
379,Male,64,20,97
380,Female,21,66,52
381,Male,57,71,79
382,Female,16,76,44
383,Male,40,51,92
384,Female,57,58,54
385,Female,35,68,32
386,Female,41,91,33
387,Male,38,62,43
388,Male,50,72,60
389,Male,39,61,51
390,Male,50,18,76
391,Male,36,56,56
392,Male,33,61,27
393,Female,33,127,35
394,Male,38,121,60
395,Female,39,46,65
396,Male,26,40,63
397,Male,42,76,39
398,Female,36,85,39
399,Male,36,41,21
400,Female,11,39,10
